label,counts,probability
1.0,912,0.38
0.6666666666666666,208,0.08666666666666667
0.0,264,0.11
0.1111111111111111,433,0.18041666666666667
0.25,335,0.13958333333333334
0.8333333333333334,12,0.005
0.42857142857142855,165,0.06875
0.1,13,0.005416666666666667
0.2222222222222222,10,0.004166666666666667
0.9375,1,0.0004166666666666667
0.3333333333333333,5,0.0020833333333333333
0.2857142857142857,1,0.0004166666666666667
0.38461538461538464,1,0.0004166666666666667
0.1875,2,0.0008333333333333334
0.35714285714285715,1,0.0004166666666666667
0.13333333333333333,1,0.0004166666666666667
0.3,1,0.0004166666666666667
0.36363636363636365,1,0.0004166666666666667
0.5714285714285714,4,0.0016666666666666668
0.375,9,0.00375
0.29411764705882354,1,0.0004166666666666667
0.9444444444444444,1,0.0004166666666666667
0.2,4,0.0016666666666666668
0.14285714285714285,1,0.0004166666666666667
0.2727272727272727,1,0.0004166666666666667
0.16666666666666666,3,0.00125
0.18181818181818182,1,0.0004166666666666667
0.07142857142857142,1,0.0004166666666666667
0.22727272727272727,1,0.0004166666666666667
0.5,1,0.0004166666666666667
0.07692307692307693,1,0.0004166666666666667
0.08333333333333333,1,0.0004166666666666667
0.625,1,0.0004166666666666667
0.7142857142857143,1,0.0004166666666666667
0.23076923076923078,1,0.0004166666666666667
0.09090909090909091,1,0.0004166666666666667
